date,Hauptzahlen,Eurozahlen
2012-03-23,05 08 21 37 46,06 08
2012-03-30,05 07 12 19 26,01 05
2012-04-06,07 08 34 36 38,04 05
2012-04-13,05 11 12 27 32,01 03
2012-04-20,10 16 30 41 45,02 08
2012-04-27,10 13 19 40 45,03 05
2012-05-04,29 30 35 41 45,03 05
2012-05-11,15 21 38 39 47,01 05
2012-05-18,12 18 43 44 46,04 05
2012-05-25,04 11 26 32 41,05 07
2012-06-01,11 28 34 37 38,03 07
2012-06-08,10 15 16 36 44,07 08
2012-06-15,06 10 17 18 42,01 03
2012-06-22,13 14 16 47 49,01 07
2012-06-29,05 08 19 33 36,02 03
2012-07-06,10 22 24 33 38,02 06
2012-07-13,08 12 27 31 37,03 06
2012-07-20,06 09 13 14 25,01 08
2012-07-27,09 22 23 34 35,01 03
2012-08-03,12 15 18 24 25,04 05
2012-08-10,06 11 40 46 48,03 06
2012-08-17,03 16 30 34 35,02 05
2012-08-24,09 20 21 33 49,05 07
2012-08-31,08 22 28 40 42,04 08
2012-09-07,15 23 25 46 49,02 04
2012-09-14,10 14 15 24 47,04 08
2012-09-21,18 29 41 44 49,01 05
2012-09-28,05 14 16 34 39,01 06
2012-10-05,26 28 40 49 50,02 07
2012-10-12,06 11 17 43 49,04 08
2012-10-19,06 14 18 19 48,03 08
2012-10-26,07 17 18 19 22,04 05
2012-11-02,03 05 07 12 31,05 07
2012-11-09,25 29 38 41 44,03 08
2012-11-16,01 04 07 21 26,04 07
2012-11-23,01 21 32 36 50,02 05
2012-11-30,02 13 21 24 37,06 07
2012-12-07,13 20 22 27 42,03 05
2012-12-14,17 28 31 35 39,05 08
2012-12-21,11 20 24 25 35,04 08
2012-12-28,05 08 22 32 39,07 08
2013-01-04,06 20 29 40 45,05 08
2013-01-11,06 31 37 41 49,02 03
2013-01-18,09 13 21 28 45,06 07
2013-01-25,04 13 28 37 38,07 08
2013-02-01,02 04 14 26 29,06 07
2013-02-08,12 14 17 27 43,01 07
2013-02-15,04 09 26 32 40,03 05
2013-02-22,03 13 41 46 49,03 08
2013-03-01,19 28 29 34 44,01 05
2013-03-08,10 12 14 30 43,02 05
2013-03-15,04 30 32 41 50,05 07
2013-03-22,05 12 21 43 48,05 06
2013-03-29,01 22 27 37 50,05 07
2013-04-05,22 31 37 38 41,02 06
2013-04-12,08 19 22 32 40,01 08
2013-04-19,17 18 22 24 25,01 06
2013-04-26,11 14 19 23 49,04 05
2013-05-03,14 16 28 44 48,03 07
2013-05-10,06 09 31 33 35,01 07
2013-05-17,04 06 10 13 32,01 08
2013-05-24,02 04 09 20 41,03 05
2013-05-31,05 09 12 23 40,02 07
2013-06-07,06 09 11 29 35,02 06
2013-06-14,01 25 46 47 48,03 08
2013-06-21,05 14 21 23 50,02 07
2013-06-28,06 08 23 33 49,03 08
2013-07-05,15 16 17 19 50,05 07
2013-07-12,07 27 33 47 48,02 07
2013-07-19,07 18 19 33 37,02 05
2013-07-26,04 13 19 25 43,03 04
2013-08-02,14 23 29 33 37,02 05
2013-08-09,07 26 32 34 49,01 06
2013-08-16,05 32 33 38 49,03 08
2013-08-23,04 10 25 30 47,02 03
2013-08-30,06 09 10 17 43,02 08
2013-09-06,03 07 20 32 44,04 05
2013-09-13,03 10 18 31 43,01 07
2013-09-20,02 06 15 18 24,05 07
2013-09-27,06 10 21 34 36,01 04
2013-10-04,01 07 16 21 48,01 08
2013-10-11,02 11 23 29 34,07 08
2013-10-18,07 22 24 25 41,01 03
2013-10-25,09 25 39 41 46,02 08
2013-11-01,07 10 13 26 27,05 08
2013-11-08,18 25 28 34 42,03 04
2013-11-15,03 19 32 43 48,04 08
2013-11-22,01 38 39 42 47,01 02
2013-11-29,17 25 32 35 45,04 07
2013-12-06,01 08 18 25 47,02 07
2013-12-13,09 19 24 28 49,02 08
2013-12-20,09 12 22 37 40,06 08
2013-12-27,02 15 33 40 43,03 07
2014-01-03,01 16 34 36 37,04 06
2014-01-10,08 18 22 33 40,02 08
2014-01-17,04 07 17 25 29,02 04
2014-01-24,04 28 30 36 46,03 07
2014-01-31,12 17 29 39 40,05 06
2014-02-07,16 18 20 36 49,03 04
2014-02-14,19 21 22 28 45,06 07
2014-02-21,02 04 21 30 41,07 08
2014-02-28,02 17 21 22 45,01 05
2014-03-07,07 14 15 20 39,01 08
2014-03-14,06 07 09 13 30,04 07
2014-03-21,08 18 35 38 42,04 06
2014-03-28,10 32 35 38 45,04 05
2014-04-04,10 16 28 30 33,04 06
2014-04-11,01 07 14 22 44,01 02
2014-04-18,12 32 40 44 49,02 03
2014-04-25,04 07 10 39 48,03 04
