date,digits
1991-09-07,294394
1991-09-14,254859
1991-09-21,314535
1991-09-28,922917
1991-10-05,046767
1991-10-12,357929
1991-10-19,069549
1991-10-26,751205
1991-11-02,873012
1991-11-09,919844
1991-11-16,418279
1991-11-23,516271
1991-11-30,166309
1991-12-07,838682
1991-12-14,531457
1991-12-21,395392
1991-12-28,273430
1992-01-04,433533
1992-01-11,083320
1992-01-18,601070
1992-01-25,765301
1992-02-01,994826
1992-02-08,522432
1992-02-15,257935
1992-02-22,601494
1992-02-29,628983
1992-03-07,249201
1992-03-14,159327
1992-03-21,059825
1992-03-28,376192
1992-04-04,373480
1992-04-11,457799
1992-04-18,599920
1992-04-25,409227
1992-05-02,986159
1992-05-09,156491
1992-05-16,353359
1992-05-23,593199
1992-05-30,156831
1992-06-06,411325
1992-06-13,249812
1992-06-20,565457
1992-06-27,240292
1992-07-04,542946
1992-07-11,934752
1992-07-18,272941
1992-07-25,073643
1992-08-01,623218
1992-08-08,065758
1992-08-15,101090
1992-08-22,922979
1992-08-29,689592
1992-09-05,240895
1992-09-12,075398
1992-09-19,598995
1992-09-26,023343
1992-10-03,028879
1992-10-10,172881
1992-10-17,004097
1992-10-24,431465
1992-10-31,403129
1992-11-07,331749
1992-11-14,883493
1992-11-21,736162
1992-11-28,963072
1992-12-05,333482
1992-12-12,699982
1992-12-19,106816
1992-12-26,678061
1993-01-02,704020
1993-01-09,644427
1994-01-01,603980
1996-01-04,639693
1996-08-16,729783
1996-10-25,511870
1998-04-04,433412
1998-04-11,981179
1998-04-18,064830
1998-05-09,089015
1998-05-16,818254
1998-08-15,212378
1998-09-05,558274
1998-12-05,544321
1998-12-12,925944
1998-12-19,368177
1998-12-26,226647
1999-01-02,416458
1999-01-09,605321
1999-01-16,173812
1999-01-23,085826
1999-01-30,703035
1999-02-06,718278
1999-02-13,209982
1999-02-20,374183
1999-02-27,959260
1999-03-06,487602
1999-03-13,598231
1999-03-20,365200
1999-03-27,743339
1999-04-03,117261
1999-04-10,176406
1999-04-17,241318
1999-04-24,976977
1999-05-01,705010
1999-05-08,331847
1999-05-15,696701
1999-05-22,265110
1999-05-29,938425
1999-06-05,008482
1999-06-12,597564
1999-06-19,005998
1999-06-26,021519
1999-07-03,987195
1999-07-10,429750
1999-07-17,590318
1999-07-24,918155
1999-07-31,274282
1999-08-07,559973
1999-08-14,498058
1999-08-21,332888
1999-08-28,756019
1999-09-04,297759
1999-09-11,909748
1999-09-18,962677
1999-09-25,376355
1999-10-02,708492
1999-10-09,747461
1999-10-16,189390
1999-10-23,948414
1999-10-30,218876
1999-11-06,498319
1999-11-13,332900
1999-11-20,270659
1999-11-27,223975
1999-12-04,034455
1999-12-11,296143
1999-12-18,584559
1999-12-25,157363
2000-01-01,500395
2000-01-08,835108
2000-01-15,525261
2000-01-22,880173
2000-01-29,736700
2000-02-05,437198
2000-02-12,307551
2000-02-19,042758
2000-02-26,266004
2000-03-04,591364
2000-03-11,744066
2000-03-18,623712
2000-03-25,368919
2000-04-01,845256
2000-04-08,331677
2000-04-15,861296
2000-04-22,459398
2000-04-29,339511
2000-05-06,533558
2000-05-13,911703
2000-05-20,968041
2000-05-27,349838
2000-06-03,334247
2000-06-10,054006
2000-06-17,173722
2000-06-24,882128
2000-07-01,237380
2000-07-08,739138
2000-07-15,645927
2000-07-22,398549
2000-07-29,655897
2000-08-05,126593
2000-08-12,263872
2000-08-19,592572
2000-08-26,083251
2000-09-02,499773
